F2 Ground,F2 Clinch,F2 Distance,F2 Leg,F2 Body,F2 Head,F1 Ground,F1 Clinch,F1 Distance,F1 Leg,F1 Body,F1 Head,F2 Control Time,F2 Reversals,F2 Sub Attacks,F2 Takedown Perc,F2 Takedowns,F2 Total Strikes,F2 Sig Strike Perc,F2 Sig Strikes,F2 Knockdowns,F1 Control Time,F1 Reversals,F1 Sub Attacks,F1 Takedown Perc,F1 Takedowns,F1 Total Strikes,F1 Sig Strike Perc,F1 Sig Strikes,F1 Knockdowns,Round,Fight Link
0 of 0,0 of 0,23 of 43,11 of 13,6 of 8,6 of 22,0 of 0,4 of 5,19 of 36,14 of 19,8 of 10,1 of 12,0:14,0,0,---,0 of 0,23 of 44,53%,23 of 43,0,0:06,0,0,---,0 of 0,28 of 46,56%,23 of 41,0,1,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
0 of 0,1 of 1,19 of 43,4 of 6,2 of 2,14 of 36,0 of 0,2 of 3,15 of 33,1 of 5,4 of 6,12 of 25,1:13,0,0,0%,0 of 2,30 of 54,45%,20 of 44,0,0:21,0,0,100%,1 of 1,33 of 54,47%,17 of 36,0,2,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
6 of 10,0 of 0,8 of 15,2 of 2,5 of 6,7 of 17,1 of 1,1 of 1,6 of 12,2 of 3,3 of 3,3 of 8,3:47,0,0,100%,1 of 1,31 of 52,56%,14 of 25,0,0:00,0,0,---,0 of 0,19 of 29,57%,8 of 14,0,3,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
0 of 0,0 of 1,20 of 34,4 of 5,6 of 11,10 of 19,0 of 0,4 of 5,11 of 24,3 of 6,4 of 5,8 of 18,1:08,0,0,0%,0 of 1,26 of 44,57%,20 of 35,0,0:02,0,0,---,0 of 0,30 of 45,51%,15 of 29,0,4,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
0 of 0,2 of 2,7 of 13,3 of 4,2 of 2,4 of 9,0 of 0,3 of 3,25 of 34,2 of 2,8 of 9,18 of 26,0:12,0,0,---,0 of 0,9 of 15,60%,9 of 15,0,0:02,0,0,---,0 of 0,30 of 40,75%,28 of 37,0,5,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
0 of 1,0 of 0,5 of 26,0 of 0,0 of 1,5 of 26,13 of 15,0 of 0,20 of 50,8 of 10,6 of 7,19 of 48,0:53,1,0,33%,1 of 3,18 of 45,18%,5 of 27,0,1:00,1,0,---,0 of 0,38 of 77,50%,33 of 65,0,1,http://ufcstats.com/fight-details/85b5d59f8eea976a
0 of 0,0 of 0,1 of 5,0 of 0,0 of 0,1 of 5,0 of 0,0 of 0,4 of 13,1 of 1,2 of 2,1 of 10,0:02,0,0,0%,0 of 1,1 of 5,20%,1 of 5,0,0:30,0,1,---,0 of 0,4 of 13,30%,4 of 13,0,2,http://ufcstats.com/fight-details/85b5d59f8eea976a
0 of 1,2 of 2,21 of 66,1 of 3,6 of 12,16 of 54,0 of 0,3 of 4,25 of 53,1 of 2,2 of 2,25 of 53,1:05,0,0,50%,2 of 4,24 of 73,33%,23 of 69,0,0:00,0,0,---,0 of 0,31 of 61,49%,28 of 57,0,1,http://ufcstats.com/fight-details/4bf3010fdeea9d93
16 of 21,0 of 0,2 of 4,0 of 0,2 of 3,16 of 22,0 of 0,0 of 0,2 of 3,0 of 0,0 of 0,2 of 3,4:34,0,0,100%,1 of 1,39 of 56,72%,18 of 25,0,0:00,0,0,---,0 of 0,23 of 25,66%,2 of 3,0,2,http://ufcstats.com/fight-details/4bf3010fdeea9d93
0 of 0,0 of 0,2 of 6,0 of 0,2 of 2,0 of 4,3 of 6,0 of 0,5 of 10,1 of 1,0 of 0,7 of 15,0:00,0,0,0%,0 of 2,2 of 6,33%,2 of 6,0,0:47,0,2,---,0 of 0,9 of 19,50%,8 of 16,0,3,http://ufcstats.com/fight-details/4bf3010fdeea9d93
0 of 0,0 of 0,2 of 12,2 of 6,0 of 1,0 of 5,0 of 0,0 of 0,10 of 20,4 of 5,0 of 1,6 of 14,0:00,0,0,---,0 of 0,2 of 12,16%,2 of 12,0,0:01,0,0,---,0 of 0,10 of 20,50%,10 of 20,1,1,http://ufcstats.com/fight-details/09afa6ce4747a1a2
0 of 0,0 of 0,0 of 5,0 of 0,0 of 1,0 of 4,0 of 0,0 of 0,10 of 27,6 of 11,2 of 3,2 of 13,0:00,0,1,0%,0 of 2,0 of 5,0%,0 of 5,0,1:11,0,0,---,0 of 0,16 of 35,37%,10 of 27,0,1,http://ufcstats.com/fight-details/77c78d0a71b10692
0 of 0,0 of 0,5 of 13,1 of 1,3 of 4,1 of 8,5 of 5,0 of 0,14 of 31,2 of 2,11 of 13,6 of 21,0:08,0,0,0%,0 of 6,5 of 13,38%,5 of 13,0,0:57,0,1,---,0 of 0,21 of 38,52%,19 of 36,1,2,http://ufcstats.com/fight-details/77c78d0a71b10692
0 of 0,0 of 0,14 of 25,2 of 2,6 of 7,6 of 16,0 of 0,0 of 0,10 of 33,0 of 1,0 of 0,10 of 32,0:14,0,0,0%,0 of 1,14 of 25,56%,14 of 25,0,0:34,0,1,0%,0 of 1,11 of 35,30%,10 of 33,0,1,http://ufcstats.com/fight-details/1f922cfe6178e830
0 of 0,0 of 0,5 of 12,0 of 0,4 of 4,1 of 8,1 of 1,0 of 0,7 of 16,0 of 0,1 of 1,7 of 16,0:00,0,0,---,0 of 0,5 of 12,41%,5 of 12,0,0:03,0,0,0%,0 of 1,8 of 17,47%,8 of 17,1,1,http://ufcstats.com/fight-details/6f22afbc5f8e0bd3
0 of 0,0 of 0,7 of 13,2 of 3,3 of 3,2 of 7,18 of 19,0 of 0,7 of 19,2 of 2,1 of 2,22 of 34,0:00,0,0,---,0 of 0,7 of 13,53%,7 of 13,0,2:48,0,2,100%,1 of 1,93 of 115,65%,25 of 38,0,1,http://ufcstats.com/fight-details/93da91272d4a7ce3
3 of 3,0 of 1,30 of 63,6 of 6,7 of 16,20 of 45,0 of 0,1 of 1,24 of 62,1 of 2,7 of 8,17 of 53,0:01,0,0,---,0 of 0,36 of 70,49%,33 of 67,0,1:04,0,0,50%,2 of 4,26 of 64,39%,25 of 63,0,1,http://ufcstats.com/fight-details/65ce9335b93d9c57
0 of 0,0 of 0,7 of 15,1 of 1,5 of 6,1 of 8,2 of 5,2 of 2,8 of 15,0 of 0,2 of 3,10 of 19,1:32,0,1,33%,1 of 3,24 of 33,46%,7 of 15,0,2:23,0,1,66%,2 of 3,16 of 29,54%,12 of 22,0,2,http://ufcstats.com/fight-details/65ce9335b93d9c57
0 of 0,0 of 0,1 of 4,0 of 2,0 of 1,1 of 1,5 of 10,0 of 0,0 of 1,0 of 0,0 of 0,5 of 11,0:07,0,0,---,0 of 0,11 of 15,25%,1 of 4,0,4:32,0,1,100%,4 of 4,16 of 26,45%,5 of 11,0,3,http://ufcstats.com/fight-details/65ce9335b93d9c57
0 of 0,0 of 1,10 of 21,0 of 0,4 of 5,6 of 17,2 of 2,2 of 3,7 of 22,0 of 1,1 of 2,10 of 24,0:00,0,0,---,0 of 0,11 of 23,45%,10 of 22,0,0:02,0,0,---,0 of 0,12 of 28,40%,11 of 27,1,1,http://ufcstats.com/fight-details/40707ddc9fdea500
0 of 0,0 of 0,6 of 31,1 of 2,2 of 2,3 of 27,0 of 0,0 of 0,5 of 15,0 of 0,1 of 3,4 of 12,0:00,0,0,---,0 of 0,7 of 32,19%,6 of 31,0,3:45,0,0,100%,2 of 2,20 of 41,33%,5 of 15,0,1,http://ufcstats.com/fight-details/ff2e4b411f695017
0 of 0,0 of 0,27 of 105,2 of 2,7 of 8,18 of 95,0 of 0,1 of 1,30 of 85,2 of 2,8 of 13,21 of 71,0:00,0,0,---,0 of 0,27 of 105,25%,27 of 105,0,0:03,0,0,---,0 of 0,31 of 86,36%,31 of 86,0,2,http://ufcstats.com/fight-details/ff2e4b411f695017
0 of 0,2 of 4,42 of 123,4 of 5,15 of 20,25 of 102,0 of 0,2 of 3,36 of 98,4 of 5,4 of 9,30 of 87,0:10,0,0,---,0 of 0,45 of 130,34%,44 of 127,0,0:15,0,0,---,0 of 0,39 of 103,37%,38 of 101,0,3,http://ufcstats.com/fight-details/ff2e4b411f695017
0 of 0,1 of 3,25 of 70,4 of 5,3 of 7,19 of 61,10 of 12,1 of 1,21 of 40,2 of 2,2 of 2,28 of 49,0:12,0,0,0%,0 of 1,26 of 74,35%,26 of 73,1,0:14,0,0,---,0 of 0,34 of 55,60%,32 of 53,2,1,http://ufcstats.com/fight-details/7f93b2f38497caec
