Sub Avg,Takedown Def,Takedown Acc,Takedown Avg,Striking Def,Sapm,Striking Acc,Slpm,Dob,Stance,Reach,Weight,Height,Win Loss Record,Link,Nick Name,Name
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Jul 13, 1978",,--,155 lbs.,--,Record: 5-3-0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,,Tom Aaron
0.0,77%,0%,0.00,57%,4.41,38%,3.29,"Jul 03, 1983",Orthodox,--,155 lbs.,"5' 11""",Record: 4-6-0,http://ufcstats.com/fighter-details/15df64c02b6b0fde,The Assassin,Danny Abbadi
0.0,66%,0%,0.00,46%,5.67,20%,3.00,"Feb 01, 1994",Orthodox,"66""",155 lbs.,"5' 8""",Record: 28-4-0,http://ufcstats.com/fighter-details/59a9d6dac61c2540,Bayraktar,Nariman Abbasov
0.0,66%,33%,1.07,38%,3.55,30%,1.35,--,Switch,--,265 lbs.,"6' 0""",Record: 10-15-0,http://ufcstats.com/fighter-details/b361180739bed4b0,Tank,David Abbott
0.0,0%,75%,3.00,59%,3.13,52%,3.87,"Jan 22, 1993",Southpaw,"72""",264 lbs.,"6' 2""",Record: 6-0-0,http://ufcstats.com/fighter-details/3329d692aea4dc28,The Hammer,Hamdy Abdelwahab
0.2,47%,23%,1.09,58%,2.80,44%,2.60,"Sep 02, 1981",Orthodox,"76""",235 lbs.,"6' 3""",Record: 20-7-0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,Abrek,Shamil Abdurakhimov
0.0,33%,0%,0.00,63%,3.11,36%,1.71,--,Orthodox,--,145 lbs.,"5' 6""",Record: 8-15-3 (1 NC),http://ufcstats.com/fighter-details/c0ed7b208197e8de,Abe Ani,Hiroyuki Abe
0.0,0%,50%,0.33,56%,4.49,33%,3.80,"Nov 27, 1991",Orthodox,"71""",170 lbs.,"5' 11""",Record: 6-2-0,http://ufcstats.com/fighter-details/5140122c3eecd307,,Daichi Abe
1.3,50%,57%,3.47,48%,3.15,55%,2.80,"Jun 30, 1978",Southpaw,--,185 lbs.,"5' 11""",Record: 10-4-0,http://ufcstats.com/fighter-details/c9f6385af6df66d7,Makambo,Papy Abedi
0.7,100%,42%,2.13,68%,3.98,31%,3.79,"Apr 27, 1984",Orthodox,--,185 lbs.,"5' 11""",Record: 5-1-0,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,Demente,Ricardo Abreu
0.0,80%,20%,0.64,55%,2.90,40%,2.05,"Dec 24, 1992",Orthodox,"74""",205 lbs.,"6' 0""",Record: 15-4-0 (1 NC),http://ufcstats.com/fighter-details/7279654c7674cd24,White Bear,Klidson Abreu
0.0,81%,20%,0.33,62%,2.85,36%,3.52,"Dec 27, 1977",Orthodox,--,180 lbs.,"5' 8""",Record: 30-18-0,http://ufcstats.com/fighter-details/1c5879330d42255f,,Daniel Acacio
0.0,0%,0%,0.00,44%,6.28,52%,3.90,"Jun 22, 1991",Orthodox,"75""",170 lbs.,"5' 9""",Record: 6-2-0,http://ufcstats.com/fighter-details/989b85f6540c86b1,The Outlaw,John Adajar
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,Southpaw,--,225 lbs.,"6' 0""",Record: 8-1-0,http://ufcstats.com/fighter-details/2620f3eb21c79614,,Scott Adams
0.0,57%,66%,0.91,34%,4.06,55%,7.09,"Jan 16, 1992",Orthodox,"80""",265 lbs.,"6' 5""",Record: 5-3-0,http://ufcstats.com/fighter-details/83b00f7597e5ac83,The Kraken,Juan Adams
0.0,0%,0%,0.00,44%,5.93,41%,3.17,"Jan 13, 1988",Orthodox,"76""",185 lbs.,"6' 1""",Record: 8-2-0,http://ufcstats.com/fighter-details/a77633a989013265,Sugafoot,Anthony Adams
0.5,100%,0%,0.00,64%,3.04,40%,3.65,"Jul 29, 1992",Southpaw,"65""",125 lbs.,"5' 5""",Record: 4-4-0,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,The Lion,Zarrukh Adashev
0.2,77%,14%,0.06,58%,2.80,50%,3.93,"Jul 22, 1989",Switch,"80""",185 lbs.,"6' 4""",Record: 23-2-0,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,The Last Stylebender,Israel Adesanya
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Apr 26, 1965",Orthodox,--,225 lbs.,"6' 3""",Record: 7-20-2,http://ufcstats.com/fighter-details/0e9869d712e81f8f,The Experience,Sam Adkins
0.0,0%,0%,0.00,42%,4.56,11%,0.69,"Jan 13, 1979",Orthodox,--,155 lbs.,"5' 8""",Record: 24-6-0,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,,Nick Agallar
0.9,47%,66%,0.59,52%,3.82,55%,4.67,"Apr 07, 1997",Southpaw,"68""",125 lbs.,"5' 6""",Record: 10-4-0,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,Demonslayer,Mariya Agapova
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,Orthodox,--,170 lbs.,"5' 10""",Record: 2-3-1,http://ufcstats.com/fighter-details/44aa652b181bcf68,,Marcelo Aguiar
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Feb 10, 1988",,--,185 lbs.,"6' 0""",Record: 17-1-0,http://ufcstats.com/fighter-details/501821d7fb7b95c1,,Fabio Aguiar
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,185 lbs.,"5' 10""",Record: 26-19-0 (1 NC),http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,Tigre,Edwin Aguilar
0.2,50%,25%,0.94,53%,7.19,50%,4.93,"May 08, 1982",Orthodox,"63""",115 lbs.,"5' 3""",Record: 20-8-0,http://ufcstats.com/fighter-details/8f382b3baa954d2a,Jag,Jessica Aguilar
0.0,78%,16%,0.16,52%,4.81,40%,3.96,"Sep 07, 1988",Orthodox,"73""",155 lbs.,"5' 7""",Record: 17-5-0,http://ufcstats.com/fighter-details/cf946e03ba2e7666,Angel of Death,Kevin Aguilar
1.3,0%,37%,3.77,66%,1.17,46%,2.01,"Mar 13, 1996",Orthodox,"62""",125 lbs.,"5' 4""",Record: 8-1-0,http://ufcstats.com/fighter-details/c051c2e12d692b8a,,Jesus Aguilar
0.0,60%,0%,0.00,48%,4.04,37%,2.54,"Nov 25, 1991",Switch,"72""",170 lbs.,"5' 9""",Record: 14-8-0,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,The Beast,Christian Aguilera
0.0,71%,0%,0.00,59%,6.33,33%,2.87,--,Orthodox,--,155 lbs.,"5' 9""",Record: 14-6-1 (1 NC),http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Iron,Mike Aina
0.0,0%,0%,0.00,25%,11.25,40%,5.00,"Jun 19, 1994",Switch,"71""",135 lbs.,"5' 8""",Record: 6-2-0,http://ufcstats.com/fighter-details/49dea784f6cfed71,Peak Physique,Ashiek Ajim
0.5,8%,0%,0.00,55%,2.58,45%,0.59,"Jul 27, 1974",Southpaw,--,135 lbs.,"5' 4""",Record: 18-10-0,http://ufcstats.com/fighter-details/2eada40ac8801559,Girlfight Monster,Hitomi Akano
0.2,65%,45%,2.58,55%,2.84,34%,2.97,"Oct 12, 1987",Orthodox,"73""",185 lbs.,"6' 0""",Record: 21-6-1,http://ufcstats.com/fighter-details/16690d100f995f8f,Wolverine,Omari Akhmedov
