Fighter1,Fighter2,F1 Kd,F2 Kd,F2 Str,F1 Str,F1 Td,F2 Td,F1 Sub,F2 Sub,Weight Class,Finish Type,Finish Attack,Finish Round,Finish Time,Fight Bonus,Perf Bonus,Sub Bonus,Ko Bonus,Title Match,Link,Card Link,F1 Link,F2 Link
Alex Pereira,Israel Adesanya,0,0,86,91,1,1,0,0,Middleweight,KO/TKO,Punches,5,2:01,False,True,False,False,True,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/e5549c82bfb5582d,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Zhang Weili,Carla Esparza,0,0,6,37,0,1,1,0,Women's Strawweight,SUB,Rear Naked Choke,2,1:05,False,True,False,False,True,http://ufcstats.com/fight-details/85b5d59f8eea976a,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/1ebe20ebbfa15e29,http://ufcstats.com/fighter-details/d910665038efc639
Dustin Poirier,Michael Chandler,0,0,43,38,0,3,2,0,Lightweight,SUB,Rear Naked Choke,3,2:00,True,False,False,False,False,http://ufcstats.com/fight-details/4bf3010fdeea9d93,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,http://ufcstats.com/fighter-details/4b93a88f3b1de35b
Chris Gutierrez,Frankie Edgar,1,0,2,10,0,0,0,0,Bantamweight,KO/TKO,Knee,1,2:01,False,False,False,False,False,http://ufcstats.com/fight-details/09afa6ce4747a1a2,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/45f0cc9d18f35137,http://ufcstats.com/fighter-details/f2688492b9a525a3
Dan Hooker,Claudio Puelles,1,0,5,29,0,0,1,1,Lightweight,KO/TKO,Kick,2,4:06,False,False,False,False,False,http://ufcstats.com/fight-details/77c78d0a71b10692,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/193b9d1858bc4df3,http://ufcstats.com/fighter-details/d747eb273a40a920
Renato Moicano,Brad Riddell,0,0,14,10,0,0,1,0,Lightweight,SUB,Rear Naked Choke,1,3:20,False,False,False,False,False,http://ufcstats.com/fight-details/1f922cfe6178e830,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/b6452706b373eea1,http://ufcstats.com/fighter-details/37ed1ab2f8b819f4
Ryan Spann,Dominick Reyes,1,0,5,8,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:20,False,False,False,False,False,http://ufcstats.com/fight-details/6f22afbc5f8e0bd3,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,http://ufcstats.com/fighter-details/2e19380f34871c6a
Erin Blanchfield,Molly McCann,0,0,7,25,1,0,2,0,Women's Flyweight,SUB,Kimura,1,3:37,False,False,False,False,False,http://ufcstats.com/fight-details/93da91272d4a7ce3,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/669970f7feba8ecd,http://ufcstats.com/fighter-details/51018a31ddf31eb2
Andre Petroski,Wellington Turman,0,0,41,42,8,1,2,1,Middleweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/65ce9335b93d9c57,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0,http://ufcstats.com/fighter-details/4dcfb28c011c11b2
Matt Frevola,Ottman Azaitar,1,0,10,11,0,0,0,0,Lightweight,KO/TKO,Punch,1,2:30,False,False,False,False,False,http://ufcstats.com/fight-details/40707ddc9fdea500,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/dccb63727f2f5f74,http://ufcstats.com/fighter-details/ee18ff42063174df
Karolina Kowalkiewicz,Silvana Gomez Juarez,0,0,77,74,2,0,0,0,Women's Strawweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/ff2e4b411f695017,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/d7c3816669784109,http://ufcstats.com/fighter-details/b4880ef2f838d4e1
Michael Trizano,SeungWoo Choi,2,1,26,32,0,0,0,0,Featherweight,KO/TKO,Punch,1,4:51,False,False,False,False,False,http://ufcstats.com/fight-details/7f93b2f38497caec,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/5bf31a46becc1204,http://ufcstats.com/fighter-details/a68575214ecad140
Montel Jackson,Julio Arce,1,0,26,48,0,1,0,0,Bantamweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/bee95769a221af9a,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d,http://ufcstats.com/fighter-details/1291edf2d566a71a
Carlos Ulberg,Nicolae Negumereanu,1,0,2,14,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:44,False,False,False,False,False,http://ufcstats.com/fight-details/db026ff6eee4d174,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,http://ufcstats.com/fighter-details/9014c02eff8b3d62,http://ufcstats.com/fighter-details/8c57c7b8c3bab0eb
Amanda Lemos,Marina Rodriguez,0,0,19,29,1,0,1,0,Women's Strawweight,KO/TKO,Punches,3,0:54,False,False,False,False,False,http://ufcstats.com/fight-details/abfc03893551ae73,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/3df5493bb279226f,http://ufcstats.com/fighter-details/cd2c4d30c6e13b47
Neil Magny,Daniel Rodriguez,0,0,66,57,5,0,1,0,Welterweight,SUB,D'Arce Choke,3,3:33,False,True,False,False,False,http://ufcstats.com/fight-details/b279559f15ecf29b,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6
Shayilan Nuerdanbieke,Darrick Minner,1,0,5,19,0,0,0,0,Featherweight,KO/TKO,Elbows,1,1:07,False,False,False,False,False,http://ufcstats.com/fight-details/2664805fde34fb1b,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/0a73acff6325c1e2,http://ufcstats.com/fighter-details/34e516ab361afb1c
Tagir Ulanbekov,Nate Maness,0,0,4,4,1,0,1,0,Flyweight,SUB,Guillotine Choke,1,2:11,False,False,False,False,False,http://ufcstats.com/fight-details/3adecfc4727a8d73,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/f00ac08ab056af5d,http://ufcstats.com/fighter-details/6e9f40c706f91f32
Grant Dawson,Mark Madsen,1,0,15,33,2,0,2,0,Lightweight,SUB,Rear Naked Choke,3,2:05,False,False,False,False,False,http://ufcstats.com/fight-details/1535fb6549fa8bab,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/99bd51917728c25d,http://ufcstats.com/fighter-details/da0995f19b749cfa
Miranda Maverick,Shanna Young,0,0,29,63,5,0,1,0,Women's Flyweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/71afa8354da2491e,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/f29a6350c69f4a33,http://ufcstats.com/fighter-details/568bbad0eaced57c
Mario Bautista,Benito Lopez,0,0,17,44,1,0,3,0,Bantamweight,SUB,Triangle Armbar,1,4:54,False,True,False,False,False,http://ufcstats.com/fight-details/2ab395e21080b10a,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,http://ufcstats.com/fighter-details/773f7feacf96153e
Polyana Viana,Jinh Yu Frey,1,0,6,11,0,0,0,0,Women's Strawweight,KO/TKO,Punches,1,0:47,False,True,False,False,False,http://ufcstats.com/fight-details/5475f5b6bad40989,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/9673a497a9da119a,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8
Johnny Munoz,Liudvik Sholinian,0,0,56,78,2,0,0,0,Bantamweight,U-DEC,,3,5:00,False,False,False,False,False,http://ufcstats.com/fight-details/31cb98ce37fd87dd,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/f6bcbd91b114ff58,http://ufcstats.com/fighter-details/1a54231796e24a3f
Jake Hadley,Carlos Candelario,0,0,69,90,0,1,1,0,Flyweight,SUB,Triangle Choke,2,2:39,False,False,False,False,False,http://ufcstats.com/fight-details/cfca30d3ef3c86b9,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/60a42bf82447c919,http://ufcstats.com/fighter-details/760a55d5b6098cbe
Tamires Vidal,Ramona Pascual,1,0,13,17,0,0,0,0,Women's Bantamweight,KO/TKO,Flying Knee,1,3:06,False,True,False,False,False,http://ufcstats.com/fight-details/b87ac039e3b13940,http://ufcstats.com/event-details/756f45905fb20cb5,http://ufcstats.com/fighter-details/4f3064faf17aa711,http://ufcstats.com/fighter-details/3eb4dc9a7d4ac906
Arnold Allen,Calvin Kattar,0,0,14,28,0,0,0,0,Featherweight,KO/TKO,,2,0:08,False,False,False,False,False,http://ufcstats.com/fight-details/a554a72bb0377213,http://ufcstats.com/event-details/be5aab761c40ef35,http://ufcstats.com/fighter-details/040a74bb0a465c54,http://ufcstats.com/fighter-details/751de04455cfaac0
